shopid,brand,name,lat,lng,zipcode,address,business_hour1,business_hour2,business_hour3
2195,なか卯,江坂店,34.7573550491358,135.499458308822,564-0052,大阪府吹田市広芝町4-28　アルデール江坂1F,24時間営業,,
2196,なか卯,江古田店,35.7367753764903,139.670937327709,176-0006,東京都練馬区栄町2-5　アーバン江古田ビル1F,24時間営業,,
2197,なか卯,松屋町店,34.6861078857859,135.511824729169,540-0021,大阪府大阪市中央区大手通2-3-4　福本ビル,10:00～23:00　ラストオーダー 22:45,,
2198,なか卯,四谷三丁目店,35.6877089911153,139.72054157858,160-0004,東京都新宿区四谷3-8-4　中央ビルディング1F,24時間営業,,
2199,なか卯,交野店,34.7789484607617,135.683875332182,576-0036,大阪府交野市森北1-4-4,24時間営業,,
2200,なか卯,赤坂七丁目店,35.6694667071523,139.732522534681,107-0052,東京都港区赤坂7-10-9　赤坂伊藤ビル1F,24時間営業,,
2201,なか卯,椎名町店,35.7266204894218,139.694733041319,171-0051,東京都豊島区長崎1-1-22　椎名町名店コーナー,24時間営業,,
2202,なか卯,レプサモールつくば店,36.0514293090238,140.13716078615,305-0063,茨城県つくば市大字下原380-5,24時間営業,,
2203,なか卯,祖師ヶ谷大蔵店,35.6437242418079,139.608678727376,157-0072,東京都世田谷区祖師谷3-33-1,24時間営業,,
2204,なか卯,醍醐店,34.9609765214589,135.812845128446,607-8258,京都府京都市山科区小野西浦21-1,24時間営業,,
2205,なか卯,烏丸夷川店,35.0147717858587,135.759827887716,604-0851,京都府京都市中京区夷川烏丸東入ル西九軒町291番地,24時間営業,,
2206,なか卯,成増店,35.7775511187791,139.629165308136,175-0094,東京都板橋区成増1-31-6　成増クリーンビル1F,24時間営業,,
2207,なか卯,十日市場店,35.5258882775098,139.515724373114,226-0025,神奈川県横浜市緑区十日市場町805-3,24時間営業,,
2208,なか卯,萩之茶屋店,34.6462824447387,135.497148337417,557-0016,大阪府大阪市西成区花園北2-5-12,24時間営業,,
2209,なか卯,桜井店,34.5088236367413,135.836855065724,633-0065,奈良県桜井市吉備568-1,24時間営業,,
2210,なか卯,箕面西宿店,34.8275348628345,135.48916343225,562-0034,大阪府箕面市西宿2-22-7,24時間営業,,
2211,なか卯,北花田店,34.5825532139554,135.516704092298,591-8002,大阪府堺市北区北花田町2-4-1,24時間営業,,
2214,なか卯,京阪守口店,34.7347736030603,135.564642823998,570-0056,大阪府守口市寺内町2-2-15,7:00～23:00　ラストオーダー 22:45,,
2215,なか卯,肥後橋店,34.6913325751989,135.494231505245,550-0001,大阪府大阪市西区土佐堀1-3-7　肥後橋シミズビル,24時間営業,,
2216,なか卯,阿佐ヶ谷駅北口店,35.7064810632422,139.63606634089,166-0001,東京都杉並区阿佐谷北2-15-1,24時間営業,,
2217,なか卯,茗荷谷店,35.7169939353451,139.737647142835,112-0006,東京都文京区小日向4-6-22　アセント茗荷谷1F,24時間営業,,
2218,なか卯,神戸谷上店,34.7616588164748,135.168993888751,651-1243,兵庫県神戸市北区谷上西町2-6,24時間営業,,
2219,なか卯,中央環状堺店,34.558424785387,135.538432009961,591-8014,大阪府堺市北区八下北1-60,24時間営業,,
2220,なか卯,大和高田店,34.5155665195268,135.741032157686,635-0087,奈良県大和高田市内本町3-8,24時間営業,,
2221,なか卯,亀有店,35.7662741887213,139.847183832273,125-0061,東京都葛飾区亀有3-25-1,24時間営業,,
2222,なか卯,垂水海岸通店,34.6282436693554,135.043326857506,655-0036,兵庫県神戸市垂水区海岸通8-23,24時間営業,,
2223,なか卯,昭和町店,34.6329450534665,135.517118126421,545-0011,大阪府大阪市阿倍野区昭和町1-21-25　有美ビル1F,24時間営業,,
2224,なか卯,千駄木店,35.7232423094116,139.762338137886,113-0022,東京都文京区千駄木2-13-1　ルネ千駄木プラザ1F,24時間営業,,
2225,なか卯,住之江公園店,34.608636370656,135.475478814975,559-0015,大阪府大阪市住之江区南加賀屋2-1-4,24時間営業,,
2226,なか卯,仙台大和町店,38.2482917061488,140.925135853833,984-0052,宮城県仙台市若林区大和町5-30-3,5:00～翌2:00　ラストオーダー 1:45,,
2228,なか卯,聖蹟桜ヶ丘店,35.6510162140736,139.448188386848,206-0011,東京都多摩市関戸2-41-1,24時間営業,,
2229,なか卯,姫路南インター店,34.8106364524713,134.681557114672,672-8048,兵庫県姫路市飾磨区三宅3-29,24時間営業,,
2230,なか卯,南巽店,34.6430371086912,135.553453255226,544-0014,大阪府大阪市生野区巽東2-20-20,24時間営業,,
2231,なか卯,橋本店,35.5943346421114,139.345062894662,252-0143,神奈川県相模原市緑区橋本2-3-2,24時間営業,,
2232,なか卯,中山店,35.515216,139.54015159999994,226-0011,神奈川県横浜市緑区中山1-22-1 中山駅前エストビル1F,24時間営業,,
2233,なか卯,武蔵浦和駅前店,35.8459732995531,139.648205853995,336-0021,埼玉県さいたま市南区別所7-6-7,24時間営業,,
2234,なか卯,潮見店,35.6590529083534,139.817035995437,135-0052,東京都江東区潮見2-7-16,24時間営業,,
2235,なか卯,摂津本山店,34.7242989297387,135.2806630017,658-0015,兵庫県神戸市東灘区本山南町8-5-23　オルゴラード1F,24時間営業,,
2236,なか卯,久世橋通店,34.9661921116949,135.735449093734,601-8349,京都府京都市南区吉祥院池田町47-2,24時間営業,,
2237,なか卯,熊取店,34.4023196168808,135.352112449544,590-0451,大阪府泉南郡熊取町野田2-12-11,24時間営業,,
2238,なか卯,せんげん台店,35.9356823109209,139.775175067398,343-0042,埼玉県越谷市千間台東町1-10-1,24時間営業,,
2239,なか卯,大和郡山店,34.6276647964083,135.804025097752,639-1119,奈良県大和郡山市発志院町179-1,24時間営業,,
2240,なか卯,京都八条口店,34.983823423535,135.759489340904,601-8002,京都府京都市南区東九条上殿田町53-1　第一土木ビル1F,24時間営業,,
2241,なか卯,長田三番町店,34.6681344014225,135.154577448074,653-0011,兵庫県神戸市長田区三番町4-8,24時間営業,,
2242,なか卯,七条新町店,34.9891283610207,135.756589615226,600-8310,京都府京都市下京区七条通新町西入夷之町721,24時間営業,,
2243,なか卯,関目店,34.7154872843337,135.545976651168,535-0031,大阪府大阪市旭区高殿4-22-33,24時間営業,,
2244,なか卯,高石羽衣店,34.5343225653136,135.43867390461,592-0002,大阪府高石市羽衣2-5-30,9:00～22:00　ラストオーダー21:45,,
2245,なか卯,神戸元町店,34.6886474862795,135.18644996764,650-0022,兵庫県神戸市中央区元町通2-10-1,24時間営業,,
2246,なか卯,尼崎昭和通店,34.7213327305027,135.416481580896,660-0892,兵庫県尼崎市東難波町5-18-8　ドミール・カクタス尼崎,24時間営業,,
2247,なか卯,姫路名古山店,34.8443772570264,134.679785152622,670-0028,兵庫県姫路市岩端町149-2,24時間営業,,
2248,なか卯,和泉府中店,34.4861942865366,135.41743121828,594-0076,大阪府和泉市肥子町2-4-36,24時間営業,,
2249,なか卯,西田辺店,34.6218353792574,135.515447943359,545-0011,大阪府大阪市阿倍野区昭和町5-12-24,24時間営業,,
2250,なか卯,堺筋周防町店,34.6718170980926,135.506441945359,542-0082,大阪府大阪市中央区島之内2-13-25,24時間営業,,
2251,なか卯,蘇我店,35.5814631008543,140.132170618773,260-0842,千葉県千葉市中央区南町2-10-17　STCビル,24時間営業,,
2252,なか卯,府大前店,34.5500701220952,135.506548931415,591-8023,大阪府堺市北区中百舌鳥町6丁996-2,5:00～翌2:00　ラストオーダー 1:45,,
2253,なか卯,西新宿店,35.694795216294,139.690950654226,160-0023,東京都新宿区西新宿6-10-2,24時間営業,,
2254,なか卯,摩耶ランプ店,34.7017573333943,135.2261696764,657-0853,兵庫県神戸市灘区灘浜町3-46,24時間営業,,
2255,なか卯,五反田店,35.6242174894888,139.722866809049,141-0031,東京都品川区西五反田1-26-4　和晃ビル1F,24時間営業,,
2256,なか卯,宮の森東店,43.068527548894,141.308480950074,063-0803,北海道札幌市西区二十四軒3条7-1-13　宮の森24ビル,24時間営業,,
2257,なか卯,すすきの西店,43.0499297071133,141.349960583821,064-0808,北海道札幌市中央区南8条西6-7-11　アン・セリジェ弐番館,24時間営業,,
2258,なか卯,円町店,35.0183997872694,135.731235928528,604-8463,京都府京都市中京区西ノ京円町8番地,24時間営業,,
2260,なか卯,市原店,35.5239064272276,140.09737976953,290-0051,千葉県市原市君塚5-28-1,24時間営業,,
