shopid,brand,name,lat,lng,zipcode,address,business_hour1,business_hour2,business_hour3
2519,なか卯,山口湯田温泉店,34.1629118490191,131.453558078229,753-0821,山口県山口市葵2-1-11,24時間営業,,
2520,なか卯,イオンモール大日店,34.7486918321657,135.580292827835,570-0016,大阪府守口市大日東町1-18　イオンモール大日ショッピングセンター2F,9:00～22:00　ラストオーダー 21:30,,
2521,なか卯,長吉長原東店,34.6046640669272,135.573710006542,547-0013,大阪府大阪市平野区長吉長原東1-2-63,24時間営業,,
2522,なか卯,池袋サンシャイン前店,35.7294575105833,139.716497492054,170-0013,東京都豊島区東池袋1-28-1　タクトT.Oビル1F,24時間営業,,
2523,なか卯,小田原鴨宮店,35.2796868487103,139.182632817285,256-0816,神奈川県小田原市酒匂1400-1,24時間営業,,
2524,なか卯,ひたちなか高場店,36.420190490342,140.538661294978,312-0062,茨城県ひたちなか市高場1159-1,24時間営業,,
2525,なか卯,大森北一丁目店,35.5862252482282,139.727673159305,143-0016,東京都大田区大森北1-30-1　三喜屋ビル,24時間営業,,
2526,なか卯,金沢入江店,36.5659579169419,136.624442155209,921-8011,石川県金沢市入江2-64,24時間営業,,
2527,なか卯,江南宮後店,35.3412780955691,136.879997879617,483-8044,愛知県江南市宮後町天神13,3:00～0:00　ラストオーダー23:45,,
2528,なか卯,船橋湊町店,35.6964051346385,139.982383043566,273-0011,千葉県船橋市湊町2-5-18　船橋第一ホテル1F,24時間営業,,
2529,なか卯,静岡沓谷店,34.992342882932,138.404656492101,420-0816,静岡県静岡市葵区沓谷3-6-11,5:00～翌2:00　ラストオーダー 1:45,,
2530,なか卯,静岡小鹿店,34.9701655333282,138.420588690141,422-8021,静岡県静岡市駿河区小鹿191-10,24時間営業,,
2531,なか卯,九段南店,35.6923069170685,139.74127714479,102-0074,東京都千代田区九段南3-9-11　マートルコート麹町1F,24時間営業,,
2532,なか卯,金沢駅西本町店,36.5818546845377,136.632147449964,920-0025,石川県金沢市駅西本町5-1-3,24時間営業,,
2533,なか卯,池袋駅東口店,35.7324777374922,139.716176824058,170-0013,東京都豊島区東池袋1-32-1　第2アムスビル1F,24時間営業,,
2534,なか卯,網走駒場店,44.0016416427607,144.282944290057,093-0033,北海道網走市駒場北5-83-1,5:00～翌2:00　ラストオーダー 1:45　,金土祝前日のみ　24時間営業,
2535,なか卯,広島五日市店,34.3830512730813,132.355132788785,731-5155,広島県広島市佐伯区城山1-18-3,24時間営業,,
2536,なか卯,船橋咲が丘店,35.758355499591,140.016865382782,274-0807,千葉県船橋市咲が丘1-24-5,24時間営業,,
2537,なか卯,東広島西条店,34.4274012314573,132.751547269196,739-0007,広島県東広島市西条土与丸1-4-12,24時間営業,,
2538,なか卯,岐阜大学前店,35.457449245938,136.734869583086,501-1132,岐阜県岐阜市折立359-1,10:00～24:00　ラストオーダー 23:45,,
2539,なか卯,港北樽町店,35.5304746942394,139.640819328457,222-0001,神奈川県横浜市港北区樽町3-2-30,24時間営業,,
2540,なか卯,武蔵中原店,35.579215384154,139.644822029464,211-0053,神奈川県川崎市中原区上小田中6-17-7,24時間営業,,
2541,なか卯,倉敷黒崎店,34.6073978764947,133.788902551743,710-0014,岡山県倉敷市黒崎611-1,24時間営業,,
2542,なか卯,桃山西尾店,34.9367426546141,135.792933453539,612-8002,京都府京都市伏見区桃山町山ノ下44-4,9:00～24:00　ラストオーダー 23:45,,
2543,なか卯,草津西大路店,35.025286326904,135.956965475903,525-0037,滋賀県草津市西大路町6-52,24時間営業,,
2545,なか卯,7号弘前堅田店,40.6276615037124,140.487290987544,036-8052,青森県弘前市大字堅田字神田382-8,24時間営業,,
2546,なか卯,代々木上原店,35.6694688543015,139.680529630324,151-0066,東京都渋谷区西原3-8-5　アコルデ代々木上原B-102,24時間営業,,
2547,なか卯,新潟新和店,37.9032390626507,139.042541145723,950-0972,新潟県新潟市中央区新和1-1-2,24時間営業,,
2548,なか卯,1国安城東栄店,34.985514534982,137.089789338382,446-0007,愛知県安城市東栄町3-4-1,9:00～翌1:00　ラストオーダー 0:45,,
2549,なか卯,8号福井米松店,36.0689496816793,136.242393991798,910-0851,福井県福井市米松2-24-30,5:00～翌2:00　ラストオーダー 1:45,,
2550,なか卯,126号旭店,35.7238079765673,140.630937642105,289-2504,千葉県旭市二5383-7,24時間営業,,
2551,なか卯,浜松向宿店,34.7023655318604,137.750704432518,430-0851,静岡県浜松市中区向宿3-1-13,24時間営業,,
2552,なか卯,8号彦根高宮店,35.240532135217,136.255811023459,522-0201,滋賀県彦根市高宮町1669-1,24時間営業,,
2553,なか卯,南大井三丁目店,35.5874990873555,139.732624633878,140-0013,東京都品川区南大井3-35-10　大森Gスクエア内,24時間営業,,
2554,なか卯,日本橋二丁目店,35.6811811977774,139.775094293055,103-0027,東京都中央区日本橋2-9-5　アサヒビル1F,24時間営業,,
2555,なか卯,日本橋本石町店,35.6874321135195,139.770381341071,103-0021,東京都中央区日本橋本石町3-2-3　日本橋オリーブビル1F,24時間営業,土のみ 5:00～翌2:00　ラストオーダー 1:45,
2556,なか卯,岡崎大西店,34.941565604436,137.184046867418,444-0871,愛知県岡崎市大西2-16-1,24時間営業,,
2557,なか卯,三宮御幸通店,34.6927139178044,135.197888830407,651-0087,兵庫県神戸市中央区御幸通6-1-5,5:00～翌2:00　ラストオーダー 1:45,,
2558,なか卯,生駒俵口店,34.701947477826,135.6967814171,630-0243,奈良県生駒市俵口町1373,24時間営業,,
2559,なか卯,稲沢石橋店,35.2619387204717,136.779800687556,492-8271,愛知県稲沢市石橋1-158,5:00～翌2:00　ラストオーダー 1:45,,
2560,なか卯,中原街道上白根店,35.495537146513,139.535466908863,241-0002,神奈川県横浜市旭区上白根2-62-32,24時間営業,,
2562,なか卯,環七南葛西店,35.6497001435683,139.871827431278,134-0085,東京都江戸川区南葛西3-24-21,24時間営業,,
2563,なか卯,勝どき一丁目店,35.6596546390351,139.776677375031,104-0054,東京都中央区勝どき1-8-1　勝どきビュータワー103,24時間営業,,
2564,なか卯,戸田駅西口店,35.8164676461471,139.668662180422,335-0021,埼玉県戸田市大字新曽750番地,24時間営業,,
2565,なか卯,守山吉身店,35.0568367626689,136.000181267409,524-0021,滋賀県守山市吉身5丁目2番1号　清原ビル,24時間営業,,
2567,なか卯,アロー大東店,34.7057499825627,135.59311540693,574-0044,大阪府大東市諸福7-4-22,9:00～24:00　ラストオーダー 23:45,,
2568,なか卯,西京極七条店,34.9893831005144,135.727332866576,615-0812,京都府京都市右京区西京極大門町8-2,24時間営業,,
2569,なか卯,19号中津川店,35.4666818296857,137.464113594903,509-9132,岐阜県中津川市茄子川1642-29,9:00～翌2:00　ラストオーダー 1:45,土日祝前日のみ　24時間,
2570,なか卯,伊勢崎韮塚店,36.306136669207,139.176220807342,372-0813,群馬県伊勢崎市韮塚町1201-1,24時間営業,,
2571,なか卯,豊橋駒形店,34.7222319236676,137.3636359412,441-8145,愛知県豊橋市駒形町字下田20-1,24時間営業,,
2572,なか卯,167号志摩店,34.345184055464,136.814818326278,517-0501,三重県志摩市阿児町鵜方大谷390-1,10:00～23:00　ラストオーダー22:45,,
2573,なか卯,黒磯店,36.9726174271664,140.040733598846,517-0501,栃木県那須塩原市阿波町109-43,24時間営業,,
2574,なか卯,38号帯広西4条店,42.9319407080375,143.197389811732,080-0034,北海道帯広市西四条北1-8,24時間営業,,
2575,なか卯,27号敦賀店,35.632271599041,136.06358367166,914-0045,福井県敦賀市古田刈66-1215,24時間営業,,
2576,なか卯,港北ニュータウン茅ケ崎東店,35.5410441586025,139.579459770957,224-0033,神奈川県横浜市都筑区茅ケ崎東3-6-35,24時間営業,,
