storeid,brand,name,lat,lon,postalCode,address,business_hour1,business_hour2,business_hour3
109,すき家,浜野店,35.5553660607455,140.125916506522,260-0824,千葉県千葉市中央区浜野町1025,24時間営業,,
110,すき家,松本中央店,36.2173752071812,137.960591406993,390-0835,長野県松本市高宮東1-25,24時間営業,,
111,すき家,都筑ふれあいの丘店,35.5395106972805,139.562742341046,224-0007,神奈川県横浜市都筑区荏田南1-1,24時間営業,,
112,すき家,西新宿店,35.6946803619503,139.698586136506,160-0023,東京都新宿区西新宿7-10-16　千徳ビル,24時間営業,,
113,すき家,牛久店,35.985874107498,140.153571330762,300-1233,茨城県牛久市栄町3-191-1,24時間営業,,
114,すき家,二宮店,35.3068790707236,139.253715384051,259-0123,神奈川県中郡二宮町二宮1352-4,24時間営業,,
117,すき家,下平間店,35.5483485276194,139.683480518008,212-0053,神奈川県川崎市幸区下平間274-11　スズキハイツ1F,24時間営業,,
118,すき家,旭店,35.7250637176943,140.64925106337,289-2504,千葉県旭市二字宮前1684-1,24時間営業,,
119,すき家,御殿場店,35.307199408767,138.925170154684,412-0042,静岡県御殿場市萩原809-2,24時間営業,,
120,すき家,真岡上高間木店（旧真岡店）,36.44018704141,139.986577613139,321-4337,栃木県真岡市上高間木3-10-8,24時間営業,,
121,すき家,芝山店,35.7206229188855,140.019731326675,274-0816,千葉県船橋市芝山2-9-1,24時間営業,,
122,すき家,長野南店,36.6082909008943,138.167687596335,381-2215,長野県長野市稲里町中氷鉋字中川原599,24時間営業,,
123,すき家,ひたちなか店,36.3970484361097,140.549693388833,312-0011,茨城県ひたちなか市中根3319-6,24時間営業,,
126,すき家,4号杉戸堤根店（旧 杉戸店）,36.0144665585965,139.75335908477,345-0024,埼玉県北葛飾郡杉戸町堤根4024-1,24時間営業,,
127,すき家,富山呉羽店,36.7257583666777,137.151641569041,930-0108,富山県富山市本郷東部9-1,24時間営業,,
128,すき家,いわき平店,37.0480594719846,140.890112362627,970-8036,福島県いわき市平谷川瀬1丁目10-6,24時間営業,,
129,すき家,富山豊田店,36.7227862588637,137.235408082497,931-8311,富山県富山市豊田2-70-4,24時間営業,,
130,すき家,幸手店,36.0724425631071,139.720605524206,340-0115,埼玉県幸手市中2-12-35,24時間営業,,
