storeid,brand,name,lat,lon,postalCode,address,business_hour
0000000260,松屋,南海難波店,34.661871,135.50285,5420076,大阪府大阪市中央区難波4-4-6 1F.2F,24時間営業
0000000261,松屋,鹿島田店,35.548019,139.679618,2120053,神奈川県川崎市幸区下平間135,24時間営業
0000000264,松屋,赤坂店,35.66901,139.739288,1070052,東京都港区赤坂5-4-6 赤坂三辻ビル1F,24時間営業
0000000265,松屋,武蔵小山店,35.616294,139.707216,1420062,東京都品川区小山3-25-15 京屋商会貸店舗1F･2F,24時間営業
0000000266,松屋,岐阜鏡島店,35.410009,136.730663,5010111,岐阜県岐阜市鏡島2009-1,24時間営業
0000000267,松屋,岐阜茜部店,35.385513,136.755652,5008262,岐阜県岐阜市茜部本郷3-159-3,24時間営業
0000000268,松屋,春日井店,35.244199,136.973614,4860844,愛知県春日井市鳥居松町4-14,24時間営業
0000000269,松屋,自由ヶ丘店,35.604976,139.673015,1520035,東京都目黒区自由が丘1-12-3 第二元太ビル1F,24時間営業
0000000270,松屋,早稲田店,35.703325,139.722386,1620045,東京都新宿区馬場下町62-18 早稲田武蔵野ビル1F,24時間営業
0000000271,松屋,秦野店,35.367496,139.229795,2570034,神奈川県秦野市大秦町1-4 鈴よしビル1F,24時間営業
0000000272,松屋,神田小川町店,35.691054,139.76821,1010052,東京都千代田区神田小川町2-1-15 1F・2F,4時から翌2時（ラストオーダー1:45）
0000000273,松屋,新高円寺店,35.69472,139.651138,1660003,東京都杉並区高円寺南2-20-2 新高円寺駅前ビル1F,24時間営業
0000000274,松屋,保谷店,35.744587,139.571179,2020012,東京都西東京市東町3-14-27 マイティビル1F,24時間営業
0000000275,松屋,藤沢南口店,35.334988,139.492256,2510055,神奈川県藤沢市南藤沢2-10 ワカバビル1F,24時間営業
0000000276,松屋,馬喰町店,35.689307,139.785246,1030002,東京都中央区日本橋馬喰町1-5-11 ラスパイユビル1F,平日24時間営業※月・祝翌日6時30分から、土・祝日20時まで、日8時から20時
0000000277,松屋,京都久御山店,34.884454,135.745774,6130023,京都府久世郡久御山町野村村東87-1,24時間営業
0000000278,松屋,春日部店,35.974835,139.754689,3440067,埼玉県春日部市中央1-2-6 M6ビル 1F,24時間営業
0000000279,松屋,稲毛店,35.634249,140.096992,2630043,千葉県千葉市稲毛区小仲台2-5-15 第8若菜ビル1.2F,24時間営業
0000000280,松屋,東大宮店,35.9402,139.645658,3370051,埼玉県さいたま市見沼区東大宮5-10-5,24時間営業
0000000281,松屋,ふじみ野店 ※3月19日15時より一時閉店、3月22日15時新規改装オープン予定,35.855405,139.516695,3560050,埼玉県ふじみ野市ふじみ野1-9-21,24時間営業
0000000282,松屋,海老名店,35.447646,139.395535,2430432,神奈川県海老名市中央2-1-5 パインビル1F,24時間営業
0000000283,松屋,錦糸町北口店,35.694694,139.816323,1300013,東京都墨田区錦糸2-4-10 Ｓ川上ビル,24時間営業
0000000284,松屋,志木東口店,35.820292,139.578546,3530004,埼玉県志木市本町5-25-12 林ビル1F,24時間営業
0000000285,松屋,町田中町店,35.54981,139.445134,1940021,東京都町田市中町2-16－6,24時間営業
0000000286,松屋,西所沢店,35.793303,139.457821,3591142,埼玉県所沢市上新井5-15-15,24時間営業
0000000287,松屋,関内仲通り店,35.442146,139.641224,2310014,神奈川県横浜市中区常盤町2-10 常盤不動産 ビル1F,24時間営業
0000000288,松屋,西新井店,35.773112,139.793023,1230843,東京都足立区西新井栄町2-3-2 ヤオキビル1F･2F,24時間営業
0000000289,松屋,新宿二丁目店,35.686356,139.711383,1600022,東京都新宿区新宿2-7-3 ヴェラハイツ新宿御苑1F,24時間営業
0000000290,松屋,鴬谷店,35.719378,139.781167,1100003,東京都台東区根岸1-6-6 小宮山鴬谷ビル1F,24時間営業
0000000291,松屋,京阪京橋店,34.694606,135.535365,5340024,大阪府大阪市都島区東野田町2-4-14,24時間営業
0000000292,松屋,綱島店,35.532948,139.637247,2230053,神奈川県横浜市港北区綱島西1-1-3  青柳ビル1F,24時間営業
0000000293,松屋,草津店,35.009793,135.965683,5250034,滋賀県草津市草津3-14-33,24時間営業
0000000295,松屋,千歳船橋店,35.644471,139.627059,1560055,東京都世田谷区船橋1-1-5 アジア堂ビル1F,24時間営業
0000000296,松屋,東村山店,35.757447,139.470301,1890014,東京都東村山市本町2-3-77 吉崎ビル1F,24時間営業
0000000297,松屋,武蔵関店,35.723928,139.580113,1770051,東京都練馬区関町北2-27-13 下田ビル1F,24時間営業
0000000298,松屋,両国店,35.692536,139.796813,1300015,東京都墨田区横網1-3-8,24時間営業
0000000299,松屋,高津店,35.599406,139.620158,2130002,神奈川県川崎市高津区二子5-2-1,24時間営業
0000000300,松屋,旗の台店,35.603051,139.707079,1420064,東京都品川区旗の台2-7-6,24時間営業
0000000301,松屋,千駄木店,35.721218,139.766355,1130022,東京都文京区千駄木2-33-8,24時間営業
0000000302,松屋,八重洲店,35.678167,139.77399,1030028,東京都中央区八重洲1-6-5 八重洲中央ビル1F,24時間営業
0000000304,松屋,天理PA（下り線）店,34.613893,135.813068,6391113,奈良県大和郡山市櫟枝町字三ノ坪195-1,24時間営業
0000000306,松屋,桜美林学園店,35.576335,139.410892,1940034,東京都町田市根岸町1010-6,24時間営業
0000000308,松屋,四ツ橋店,34.669359,135.499652,5500014,大阪府大阪市西区北堀江1-2-14,24時間営業
0000000309,松屋,学芸大学店,35.626083,139.688384,1520004,東京都目黒区鷹番3-8-7,24時間営業
0000000310,松屋,北浦和東口店,35.869236,139.65011,3300074,埼玉県さいたま市浦和区北浦和3-2-8,24時間営業
0000000311,松屋,橋本店,35.592988,139.348435,2520143,神奈川県相模原市緑区橋本6-2-1,24時間営業
0000000314,松屋,駒込店,35.732771,139.75087,1700003,東京都豊島区駒込1-38-3 小宮山駒込ビル1.2F,24時間営業
0000000315,松屋,みずほ台店,35.834161,139.553275,3540018,埼玉県富士見市西みずほ台1-20-8,24時間営業
0000000316,松屋,白楽店,35.486133,139.630472,2210065,神奈川県横浜市神奈川区白楽118,24時間営業
0000000319,松屋,森下店,35.684385,139.801749,1350004,東京都江東区森下2-17-1 勝山ビル1F・2F,24時間営業
0000000320,松屋,新小岩店,35.713877,139.861863,1240024,東京都葛飾区新小岩1-46,24時間営業
0000000321,松屋,踊場店,35.402478,139.52128,2450014,神奈川県横浜市泉区中田南1-2-12,24時間営業
0000000323,松屋,四日市日永店,34.943951,136.609065,5100885,三重県四日市市日永4-1-10,24時間営業
0000000324,松屋,四日市富田店,35.005391,136.657552,5108015,三重県四日市市松原町2-17,24時間営業
0000000326,松屋,東長崎店,35.725392,139.686,1710052,東京都豊島区南長崎5-16-8平和ビル１F,24時間営業
0000000327,松屋,紀ノ川大橋店,34.23141,135.156521,6408404,和歌山県和歌山市湊1820-99,24時間営業
0000000328,松屋,南行徳店,35.668883,139.904734,2720143,千葉県市川市相之川4-17-2 メトロセンター南行徳,24時間営業
0000000329,松屋,戸越公園店,35.605859,139.721149,1420041,東京都品川区戸越5-18-7 兼田ビル1・2F,24時間営業
0000000330,松屋,鴨居店,35.507412,139.570669,2260003,神奈川県横浜市緑区鴨居1-8-10 田畑ビル1F,24時間営業
0000000332,松屋,新宿靖国通り店,35.690414,139.705703,1600021,東京都新宿区歌舞伎町1-6-3 石塚ビル1F,24時間営業
0000000335,松屋,中目黒店,35.64139,139.701641,1530051,東京都目黒区上目黒3-3-1 中津川ビル1・2F,24時間営業
0000000338,松屋,上石神井店,35.723614,139.594713,1770044,東京都練馬区上石神井2-25-5 栄ビル 1F,24時間営業
0000000339,松屋,北松戸店,35.797344,139.915741,2710064,千葉県松戸市上本郷904-6 堀ビル1F,24時間営業
0000000340,松屋,三河安城店,34.969053,137.051132,4460055,愛知県安城市緑町2-9-2,24時間営業
0000000342,松屋,京王八王子店,35.654458,139.344523,1920082,東京都八王子市東町1-1-20 第6岩下ビル1F,24時間営業
0000000343,松屋,厚木店,35.432691,139.360617,2430016,神奈川県厚木市田村町7-20,24時間営業
0000000345,松屋,久我山店,35.684406,139.603139,1680082,東京都杉並区久我山2-28-1 矢崎ビル1･2F,24時間営業
0000000348,松屋,東十条店,35.762564,139.730628,1140001,東京都北区東十条4-4-24 宮田ビル1F,24時間営業
0000000349,松屋,上板橋店,35.760709,139.679995,1740071,東京都板橋区常盤台4-33-13 丸萩ビル1F,24時間営業
0000000350,松屋,桜木町店,35.446229,139.632718,2310063,神奈川県横浜市中区花咲町2-59 白鳥ビル1F,24時間営業
0000000351,松屋,池袋アゼリア通り店,35.728543,139.709296,1710021,東京都豊島区西池袋5-2-10 SP-1ビル,24時間営業
0000000352,松屋,下赤塚店,35.767181,139.648874,1750092,東京都板橋区赤塚1-7-2,24時間営業
0000000353,松屋,浅草吾妻橋店,35.707239,139.800491,1110034,東京都台東区雷門2-19-13,24時間営業
0000000354,松屋,西千葉店,35.619073,140.105724,2600033,千葉県千葉市中央区春日2-19-9 西千葉西口ビル,24時間営業
0000000356,松屋,中延店,35.602769,139.715907,1420053,東京都品川区中延4-5-3 智勇第一ビル1F,24時間営業
0000000357,松屋,ときわ台店,35.756279,139.693169,1740071,東京都板橋区常盤台1-2-5 町田ビル1F,24時間営業
0000000358,松屋,横須賀中央駅前店,35.275843,139.674438,2380007,神奈川県横須賀市若松町1-7-5,24時間営業
0000000359,松屋,大井町店,35.604001,139.740232,1400011,東京都品川区東大井5-6-8,24時間営業
0000000361,松屋,武蔵境店,35.699858,139.547548,1800022,東京都武蔵野市境1-2-3,24時間営業
0000000362,松屋,天王町店,35.450711,139.60654,2400003,神奈川県横浜市保土ヶ谷区天王町2-47-7 日振ビル1Ｆ,24時間営業
0000000363,松屋,町田東口店,35.541799,139.449349,1940013,東京都町田市原町田6-15-16 コマヤビル,24時間営業
0000000366,松屋,八幡山店,35.667985,139.619578,1680074,東京都杉並区上高井戸1-8-22 D.S八幡山 1F,24時間営業
0000000367,松屋,人形町店,35.682489,139.785774,1030013,東京都中央区日本橋人形町1-18-8 第2篠原ビル,平日24時間営業※土・日・祝は5時から翌2時
0000000368,松屋,阪急園田店,34.749479,135.449733,6610953,兵庫県尼崎市東園田町9-48-1 園田阪急プラザ,24時間営業
0000000370,松屋,津田沼南口店,35.688203,140.022668,2750026,千葉県習志野市谷津7-9-16 京葉ビル2 1F,24時間営業
0000000373,松屋,千葉我孫子店,35.868757,140.014661,2701151,千葉県我孫子市本町2-3-2 プラザビル1F,24時間営業
0000000375,松屋,鶴橋店,34.662552,135.531826,5430025,大阪府大阪市天王寺区下味原町3-13 鶴橋下味原ビル1F,24時間営業
0000000376,松屋,通天閣店,34.651088,135.50787,5560003,大阪府大阪市浪速区恵美須西2-1-32,24時間営業
0000000377,松屋,新宿大ガード店,35.690137,139.702751,1600023,東京都新宿区西新宿1-2-1 ファイブKビル1F,24時間営業
